Institutional_Owner,Shelfmark,Title,Publisher,Creator,Type_of_Content,Date_of_Map,Technique,Subject,Annotation,Rights,Language,Date_of_Publication,Distribution_Format,Geographic_Location,Scale_of_Map,Reference_System,Mapping_Methods,Map_Format,Source_Materials,Pagination,Annotation_Edition,Annotation_Library_Index,Other_Annotation,PPN,Region_Keyword,Additional_Signature,Item_URL,OCLC_number,Date_created,Date_modified,CONTENTdm_number,CONTENTdm_file_name,CONTENTdm_file_path
,uklu 01-29-14,La Seigneurie de Groningue subdivisée en toutes ses Iuridictions dressée sur les memoires les plus nouveaux,"A Paris : chez H. Iaillot, joignant les grands Augustins, aux deux Globes","Sanson, Guillaume",,1692,,krt-1692-grp,Auec privilege du Roy pour vingt ans |,,,,,74.20 geografie van Nederland |,[ca. 1:185.000],,,"53,5 x 79 cm",kopergrav,"1 krt, in twee bl",,,"Gekleurd, geplakt op linnen | Bibliotheek Backer |",146008782,4.210.230 Groningen (provincie) |,BACKER PORT 06 NO01 @ i | BACKER LIJST r19 | ; krt-1692-grp,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1218,,2012-10-24,2012-10-24,1218,6819.cpd,/Kaarten/image/6819.cpd
,uklu 01-18-06,La Seigneurie d'Utrecht,A Paris : chez H. Iaillot,"Sanson, Guillaume",,1692,,krt-1692-utr,"Met privilege | Beschreven in: Pastoureau, Les atlas francais ... p. 244 |",,,,,74.20 geografie van Nederland |,[ca. 1:165.000],,,43 x 56 cm,kopergravure,1 krt,,,gekleurd |,126833451,4.210.350 Utrecht (provincie) |,krt-1692-utr,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1220,,2012-10-24,2012-10-24,1220,6821.cpd,/Kaarten/image/6821.cpd
,uklu 01-26-01,La Seigneurie d'Utrecht,A Amsterdam : chez Pierre Mortier et Compagnie,"Sanson, Guillaume",,1692,,krt-1692-utr-seig,"Met privilege | Beschreven in: Koeman, Atlantes Neerlandici III, p. 15 (35) |",,,,,74.20 geografie van Nederland |,[ca. 1:165.000],,,43 x 56 cm,kopergravure,1 krt,,,gekleurd |,152063099,4.210.350 Utrecht (provincie) |,krt-1692-utr-seig,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1222,,2012-10-24,2012-10-24,1222,6823.cpd,/Kaarten/image/6823.cpd
,uklu 01-28-18,Afbeeldinge der stadt Groningen met de omliggende fortressen : 1652,[S.l. : s.n.],"Haubois, E.",,1694,,krt-1694-grs-grp,"Met oorspronkelijk impressum: [Groningen] : Sam. Pieman excudit ; door de aanwezigheid van de Nieuwe Kerk moet de kaart op zijn vroegst gedrukt zijn in 1694 | Beschreven in: Vredenberg-Alink, De kaarten van Groningerland, IV B 12 (5) |",,,,,74.20 geografie van Nederland |,[ca. 1:6.500],,,"totaal 45,5 x 55 cm, plattegrond van de stad 25,5 x 35 cm",kopergrav,1 krt,Rond de kaart bijkaartjes,Met lijsten van openbare gebouwen en gasthuizen en van straten en poorten | Boven de kaart portretten van stadhouders en de wapens van provincie en stad Groningen |,"Geplakt op linnen, zeer matige afdruk | Bibliotheek Backer |",151440972,4.210.230 Groningen (stad) | 4.210.250 Coevorden | 4.210.230 Nieuweschans | 4.210.230 Bourtange | 4.210.230 Delfzijl |,BACKER PORT 09 NO29 | BB portef. IX nr. 29 | ; krt-1694-grs-grp,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1224,,2012-10-24,2012-10-24,1224,6825.cpd,/Kaarten/image/6825.cpd
,uklu 01-07-09,Gouvernement general de la Picardie : qui comprend la generalité d'Amiens divisée en ses huit elections : avec l'Artois et les frontieres des Pays Bas,a Paris : [Jaillot],Jaillot,,1695,,krt-1695-bel,"Tweede titel onder de kaart: Partie de la Flandre et du Hainaut | Met privilege | Beschr. in: Pastoureau, Les atlas francais p. 276-277 |",,,,,74.19 geografie van Europa |,[ca. 1:240.000],,,"40,5 x 56 cm",kopergravure,1 krt,,,,160342880,4.220 Vlaanderen (Belgie) | 4.220 Henegouwen |,krt-1695-bel,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1226,,2012-10-24,2012-10-24,1226,6827.cpd,/Kaarten/image/6827.cpd
,uklu 01-29-16,La Seigneurie de Groningue subdivisée en toutes ses Iuridictions dressée sur les memoires les plus nouveaux,A Paris : chez H. Iaillot,"Sanson, Guillaume",,1696,,krt-1696-grp,Met privilege | Beschreven in : De kaarten van Groningerland / J.J. Vredenburg-Alink. - IV A 9 |,,,,,74.20 geografie van Nederland |,[ca. 1:185.000],,,"53,5 x 79 cm",kopergravure,"1 krt, in twee bladen",,,"Met de randen is ook de titel welke boven de kaart stond afgesneden | Gekleurd, geplakt op linnen | Bibliotheek Backer |",146007123,4.210.230 Groningen (provincie) |,BACKER PORT 06 NO03 @ i | BACKER LIJST r21 | ; krt-1696-grp,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1228,,2012-10-24,2012-10-24,1228,6829.cpd,/Kaarten/image/6829.cpd
,uklu 01-28-08,Dominii Groningae nec non maximae partis Drentiae novissima delineatio,'t Amsterdam : by Carel Allard,"Allard, Carolus",,1697,,krt-1697-grp kb-1697-grp-dgnn-53,"Beschreven in: Vredenberg-Alink, De kaarten van Groningerland, IV A 28 |",,,,,74.20 geografie van Nederland |,[ca 1:180.000],,,"46,5 x 55,5 cm",kopergravure,1 krt,Inzet,,Geplakt op linnen | Bibliotheek Backer |,151361533,4.210.230 Groningen (provincie) | 4.210.250 Drenthe |,BACKER PORT 07 NO04 | BB portef. VII nr. 4 | ; krt-1697-grp,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1230,,2012-10-24,2021-07-14,1230,6831.cpd,/Kaarten/image/6831.cpd
,uklu 01-01-21,Bolswaert,Amstelodami : F. de Wit,,,1698,,krt-1698-frw-bols,"Met opdracht van J. Blaeu aan burgemeesters en raad van Bolsward | Beschreven in: Koeman, Atlantes Neerlandici I, p. 311 | Lit.: Theatrum ichnographicum ... . - Amsterdam : van Hoeve, 1980. Facs. van de oorspr. bij Frederick de Wit te Amsterdam ca. 1698 versch. editie |",,,,,74.20 geografie van Nederland |,Schaal [ca. 1:3.500],,,40 x 52 cm,kopergrav,1 vogelvluchtkrt,,,De randen afgesneden |,107378515,4.210.210 Bolsward |,krt-1698-frw-bols,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1232,,2012-10-24,2012-10-24,1232,6833.cpd,/Kaarten/image/6833.cpd
,uklu 02-11-03,Franekera,[Amsterdam : Frederick de Witt],,,1698,,krt-1698-frw-frane,,,,,,74.20 geografie van Nederland |,[ca. 1:2.000],,,"40 x 50,5 cm",kopergravure,1 plgr,,Met lijst van gebouwen en straten |,"Geplakt op karton | Legaat Mijjer, collectie Hallema |",15806867X,4.210.210 Franeker |,krt-1698-frw-frane,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1234,,2012-10-24,2012-10-24,1234,6835.cpd,/Kaarten/image/6835.cpd
,uklu 01-18-20,Staveren,[Amsterdam : F. de Wit],"Blaeu, Joan",,1698,,krt-1698-frw-stav,De kaart is oorspronkelijk door Joan Blaeu uitgegeven ca. 1649 | Met opdracht in het Latijn door J. Blaeu aan Burgemeesters en raad van Staveren |,,,,,74.20 geografie van Nederland |,[ca. 1:2000],,,42 x 53 cm,,1 plattegrond in vogelvluchtperspectief,,,,137082266,4.210.210 Stavoren |,krt-1698-frw-stav,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1236,,2012-10-24,2012-10-24,1236,6837.cpd,/Kaarten/image/6837.cpd
,uklu 01-07-07,Arnemuyden,[Amsterdam : F. de Wit],,,1698,,krt-1698-zee,,,,,,74.20 geografie van Nederland |,[ca 1:3.000],,,41 x 51 cm,kopergravure,1 plgr,,,,160342449,4.210.410 Arnemuiden |,krt-1698-zee,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1238,,2012-10-24,2012-10-24,1238,6839.cpd,/Kaarten/image/6839.cpd
,uklu 02-10-06,Accuratissima totius Asiae tabula,Amstelodami : [Fredericus de Wit],"Wit, Fredericus",,16XX,,krt-16xx-azi-atat,"Beschreven in: Koeman, Atlantes Neerlandici III, p. 212 [19] |",,,,,74.21 geografie van Azie |,[ca. 1:1.000.000],,,"48,5 x 56,5 cm",Kopergravure,1 krt,,,,136411746,5 Azie |,krt-16xx-azi-atat,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1240,,2012-10-24,2021-07-14,1240,6841.cpd,/Kaarten/image/6841.cpd
,uklu 02-10-07,Nova et Accurata totius Europae descriptio,Amstelodami : F. de Wit excudit,"Wit, Fredericus",,16XX,,krt-16xx-eur-neat,Genummerd rechtsboven: 5 |,,,,,74.19 geografie van Europa |,[ca. 1:10.000.000],,,"48,5 x 58 cm",kopergravure,1 krt,,,,136412785,4 Europa (geografie) |,krt-16xx-eur-neat,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1242,,2012-10-24,2012-10-24,1242,6843.cpd,/Kaarten/image/6843.cpd
,uklu 01-13-07,"Groninga, opulenta populosa, et valide contra hostiles insultus munita Phrisiae vrbs : Ptolemaeo Phileum constructa et denominata a Grunno Anthenoris regis Francorum fratre, anno ante incarnationem Christi CCCLXXVII vt Hunibaldus scribit",[S.l. : s.n.],,,16XX,,krt-16XX-grs krt-16XX-grs-v,Genummerd op verso: 31,,,,,74.20 geografie van Nederland,[ca. 1:4.000],,,"31,5 x 43 cm",kopergravure,1 vogelvluchtplgr,,Verso: Groninga [tekst in het Lat.],"Late afdruk van de koperplaat, geplakt op linnen; Bibliotheek Backer",151801614,4.210.230 Groningen (stad),BACKER PORT 09 NO12 | BB portef. IX nr. 12 | ; krt-16XX-grs,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1245,,2012-10-24,2021-07-14,1245,6846.cpd,/Kaarten/image/6846.cpd
,uklu 04-08-plaat2-1600,Groeninga M.D.LXXIII,,,,[ca. 1600],,krt-1600-grs-groe,Boven de kaart: Von dem Teütschen Land  Onder de kaart: Etlicher orthern in dieser Statt erklärung. A Die Hauptkirch-V Letterport,,,,,74.20 geografie van Nederland,,,,"12,5 x 15,5 cm",houtsnede,1 zijaanzicht,Verso tekst: Mlxxxiiij Das Dritte Büch ... Brandenburger Marck. Cap. cccclv ...,"In: Cosmographey : das ist Beschreibung aller Länder, Herrschafften [etc.] / [...] durch Sebastian Munster",,,4.210.230 Groningen (stad),krt-1600-grs-groe,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1247,,2012-10-24,2012-10-26,1247,6848.cpd,/Kaarten/image/6848.cpd
,uklu 01-01-39,Enckhuysen,[S.l. : s.n.],,,16XX,,krt-16XX-nho,Met wapen van Enckhuysen |,,,,,74.20 geografie van Nederland |,[Schaal ca. 1 : 7200],,,25 x 28 cm,kopergravure,1 plg in vogelvlucht perspectief,,,,137091303,4.210.150 Enkhuizen |,krt-16XX-nho,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1249,,2012-10-24,2012-10-24,1249,6850.cpd,/Kaarten/image/6850.cpd
,uklu 01-25-02,Ditio Trans-Isulana,[Amsterdam] : Joannes Janssonius,,,16XX,,krt-16XX-nne,"Beschreven in: Koeman, Atlantes Neerlandici II p. 382 [436] |",,,,,74.20 geografie van Nederland |,[ca. 1:285.000],,,"38,5 x 49,5 cm",Kopergravure,1 krt,,,,141136936,4.210.270 Overijssel | 4.210.250 Drenthe |,krt-16XX-nne,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1251,,2012-10-24,2012-10-24,1251,6852.cpd,/Kaarten/image/6852.cpd
,uklu 02-10-04,Nova totius terrarum orbis tabula,Amstelodamum : ex officina F. de Wit,,,16XX,,krt-16xx-wer,"Beschreven in: Koeman, Atlantes Neerlandici III, p. 212 |",,,,,74.13 geografie van de aarde |,[Schaal bij de evenaar ca. 1:78.000.000],,,48 x 56 cm,Kopergravure,1 krt,,Met randversieringen |,,136412424,Aarde (planeet) |,krt-16xx-wer,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1253,,2012-10-24,2012-10-24,1253,6854.cpd,/Kaarten/image/6854.cpd
,uklu 01-22-09,Novissima Belgii regii tabula,Amsterdam : Carel Allard,"Allard, Carel",,17XX,,krt-1700-bel-1  krt-1700-bel-2,"Met privilege | Beschreven in: Koeman, Atlantes Neerlandici I p. 33 [Al. 15] |",,,,,74.19 geografie van Europa |,[ca. 1:830.000],,,48 x 94 cm,kopergravure,1 krt in 3 bladen aaneengeplakt,,,gekleurd |,142042587,4.220 Belgie |,krt-1700-bel-1,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1256,,2012-10-24,2012-10-24,1256,6857.cpd,/Kaarten/image/6857.cpd
,uklu 02-11-17,"Les Provinces des Pays-Bas Catholiques distinguées suivant qelles sont presentement partagees entre le roy de France, le roy d'Espagne et les Etats Generaux des Provinces-Unies",A Amsterdam : chez Pierre Schenk,"Sanson, Nicolas",,1700,,krt-1700-bel-lux-pdpc krt-1700-bel-lux-pdpc-a,Tweede titel boven de kaart : Les Provinces des Pays Bas Catholiques : restees pour la pluspart sous l'obeissance du roy d'Espaane ... Met privilege,,,,,74.19 geografie van Europa,[ca. 1:800.000],,,"46 x 58,5 cm",kopergravure,1 krt,,,Late druk van de koperplaat; gekleurd,142039594,4.220 Belgie | 4.230 Luxemburg (land),krt-1700-bel-lux-pdpc,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1259,,2012-10-24,2021-07-14,1259,6860.cpd,/Kaarten/image/6860.cpd
,uklu 04-09-1700,Drentia comitatvs : Transisulaniae tabula II,Prostant Amstelodami : apud Pet. Schenk et Ger. Valk,"Pynacker, Cornelius",,1700,,krt-1700-drp-dc,,,,,,74.20 geografie van Nederland |,[ca. 1:180.000],,,39 x 53 cm,kopergravure,1 krt,,,"gekleurd, geplakt op linnen, de randen afgesneden |",107938790,4.210.250 Drenthe |,Uo---- 2 | ; krt-1700-drp-dc,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1261,,2012-10-24,2012-10-24,1261,6862.cpd,/Kaarten/image/6862.cpd
,uklu 02-11-10,"L'Empire d'Allemagne, divisée en tous ses estats",A Amsterdam : chez Pierre Schenk,"Sanson, Nicolas",,1700,,krt-1700-dui-edde,2e titel boven de kaart : L'Empire d'Allemagne ou sont distingues les etats ... | Met privilege |,,,,,74.19 geografie van Europa |,[ca. 1:2.500.000],,,"46,5 x 57,5 cm",kopergravure,1 krt,,,gekleurd |,14195485X,4.415 Duitsland |,krt-1700-dui-edde,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1263,,2012-10-24,2012-10-24,1263,6864.cpd,/Kaarten/image/6864.cpd
,uklu 02-16-27,Insulae et Principatus Rugiae cum vicinis Pomerariae littoribus nova tabula,Norimbergae : a Ioh. Baptista Homanno,"Homann, Johann Baptista",,1700,,krt-1700-dui-rugi,,,,,,74.19 geografie van Europa |,[ca. 1:210.000],,,47 x 56 cm,kopergravure,1 krt,,,Gekleurd |,155282220,4.415 Ruegen |,krt-1700-dui-rugi,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1265,,2012-10-24,2012-10-24,1265,6866.cpd,/Kaarten/image/6866.cpd
,uklu 02-11-15,Estats de l'Empire des Turqs en Europe : subdivisés suivant l'estendue des Beglerbeglicz ou gouvernements dans lesquels sont marquées les residences ...,A Amsterdam : chez Pierre Schenk,"Sanson, Nicolas",,17XX,,krt-1700-eur-edld,"Met privilege | Titel boven de kaart: Regni Hungariae; Graeciae et Moreae, regionumque finitimarum, nova polita, fida delineatio / per Petrum Schenck |",,,,,74.19 geografie van Europa |,[ca. 1:4.200.000],,,"46 x 58,5 cm",kopergravure,1 krt,,,gekleurd |,141970871,4.800 Zuidoost-Europa | 2 Osmaanse rijk |,krt-1700-eur-edld,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1267,,2012-10-24,2012-10-24,1267,6868.cpd,/Kaarten/image/6868.cpd
,uklu 02-11-18,"Table geographique dans la quelle fort distinctement est montré la partie meridionale ou superieure du Rhein, Meuse, Moselle et les moindres rivieres ... et la Comte de Bourgogne et d'autres provinces voisines de France et Italie",[S.l. : s.n.],"Sanson, Nicolas",,1700,,krt-1700-eur-tgdl,Titel boven de kaart |,,,,,74.19 geografie van Europa |,Schaal [ca. 1:1.100.000],,,"44,5 x 58,5 cm",kopergravure,1 krt,,,gekleurd |,142044024,4.280 Oost-Frankrijk | 4.415 Zuidwest-Duitsland | 4.480 Zwitserland |,krt-1700-eur-tgdl,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1269,,2012-10-24,2012-10-24,1269,6870.cpd,/Kaarten/image/6870.cpd
,uklu 02-11-14,"Totius Alsatiae novissima tabula, qua simul Sundgovia, Brisigavia, Ortenavia, maxima pars Marchionatus Badensis, nec non aliae insertae et adiacentes regiones",Amst[elodami] Bat[avorum] : Nicolaum Vischer,"Visscher, Nicolaes",,17XX,,krt-1700-fra-dui,Met privilege |,,,,,74.19 geografie van Europa |,Schaal [ca. 1:350.000],,,"57.5 x 46,5 cm",kopergravure,1 krt,,,gekleurd |,141968362,4.280 Elzas |,krt-1700-fra-dui,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1271,,2012-10-24,2012-10-24,1271,6872.cpd,/Kaarten/image/6872.cpd
,uklu 02-11-11,"Les Estats de Savoye, Piemont, et le Comté de Nice",a Amsterdam : chez Pierre Schenk,"Sanson, Nicolas",,17XX,,krt-1700-fra-espe,Met privilege |,,,,,74.19 geografie van Europa |,Schaal [ca. 1:550.000],,,"57 x 47,5 cm",kopergravure,1 krt,,,gekleurd |,141957069,4.280 Zuidoost-Frankrijk | 4.660 Piemonte |,krt-1700-fra-espe,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1273,,2012-10-24,2012-10-24,1273,6874.cpd,/Kaarten/image/6874.cpd
,uklu 02-11-12,Picardia vera et inferior,Amstelaedami : apud Gerardum Valk et Petrum Schenk,,,17XX,,krt-1700-fra-pvei,,,,,,74.19 geografie van Europa |,[ca. 1:600.000],,,39 x 54 cm,kopergravure,1 krt,,,,141960914,4.280 Picardie |,krt-1700-fra-pvei,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1275,,2012-10-24,2012-10-24,1275,6876.cpd,/Kaarten/image/6876.cpd
,uklu 02-16-33,Sicilia Regnvm,Amstelodami : apud G. Valk et P. Schenk,,,1700,,krt-1700-ita-sici,,,,,,74.19 geografie van Europa |,[ca. 1:900.000],,,"39,5 x 49,5 cm",kopergrav,1 krt,,,Gekleurd |,155482556,4.660 Sicilie |,krt-1700-ita-sici,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1277,,2012-10-24,2012-10-24,1277,6878.cpd,/Kaarten/image/6878.cpd
,uklu 02-11-04,"Téatre de la guerre en Italie ou partie de la Republique de Venise, Verone, Mantoue, Modene, Padoue &#38;c",A Amsterdam : chez Pierre Mortier,,,1700,,krt-1700-ita-tdge,Titel boven de kaart | Avec privilege |,,,,,74.19 geografie van Europa |,Schaal [ca. 1:700.000],,,55 x 46 cm,kopergravure,1 krt,,,gekleurd |,141716770,4.660 Noordoost-Italie |,krt-1700-ita-tdge,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1279,,2012-10-24,2012-10-24,1279,6880.cpd,/Kaarten/image/6880.cpd
,uklu 01-25-24,"Naeuw-keurige afbeeldinge van alle de posten en vastigheden, by dese weerende oorlogh gemaeckt, in Holland, Utrecht en gedeelte van Gelderlandt",'t Amsterdam : by Pieter Schenk en Gerard Valk,"Loon, Johan",,1700,,krt-1700-mne,Met prev[ilege] |,,,,,74.20 geografie van Nederland |,[ca. 1:170.000],,,40 x 52 cm,kopergrav,1 krt,,,,137105495,4.210.100 Holland | 4.210.350 Utrecht (provincie) | 4.210.310 Gelderland |,krt-1700-mne,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1282,,2012-10-24,2012-10-24,1282,6883.cpd,/Kaarten/image/6883.cpd
,uklu 02-16-11,Ducatus Stiriae novissima tabula,Norimbergae : a Ioh. Bapti. Homanno,"Homann, Johann Baptist",,1700,,krt-1700-oos,Cum privilegio Sac. Caes. Maj |,,,,,74.19 geografie van Europa |,[ca. 1 : 400.000],,,48 x 57 cm,kopergravure,1 krt,,,Gekleurd |,137158009,4.460 Stiermarken |,krt-1700-oos,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1284,,2012-10-24,2012-10-24,1284,6885.cpd,/Kaarten/image/6885.cpd
,uklu 02-11-23,"Plan de la ville de Vienne : residence imperiale &#38; ville capitale en Autriche : dedans l'an 1529 par Soliman &#38; dedans l'an 1683 par Mahomet le III, empereur des Turcs tres rigoureusement mais en vain assiégé = Grund-Verzeichnis der keyse",Amstelodami : apud Nicolaum Visscher,,,1700,,krt-1700-oos-wenen,"Met privilege | Beschreven in: Koeman, Atlantes Neerlandici III p. 184 [248] |",,,,,74.19 geografie van Europa |,Zonder schaal,,,"48 x 55,5 cm",kopergravure,1 krt,,"Met lijsten van fortificaties en van gebouwen, markten en pleinen in het Frans, Duits en Nederlands |","Gekleurd | Legaat Mijjer, collectie Hallema |",148958303,4.460 Wenen (stad) |,krt-1700-oos-wenen,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1286,,2012-10-24,2012-10-24,1286,6887.cpd,/Kaarten/image/6887.cpd
,uklu 01-17-09,Swolla,Amstelodami : [F. de Wit],,,1700,,krt-1700-ove-swol,"Beschreven in : Koeman, Atlantes neerlandici, vol. 3, p. 209 |",,,,,74.20 geografie van Nederland |,[ca. 1:3.300],,,40 x 50 cm,kopergrav,1 plattegrond,,Met lijst van straten en gebouwen |,geplakt op linnen en enigszins vuil |,113033923,4.210.270 Zwolle |,6245/1972 | ; krt-1700-ove-swol,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1288,,2012-10-24,2012-10-24,1288,6889.cpd,/Kaarten/image/6889.cpd
,uklu 01-25-03,Vollenhove,tot Amsterdam : bij F. de Wit,,,1700,,krt-1700-ove-voll,,,,,,74.20 geografie van Nederland |,[ca. 1 : 1700],,,40 x 51 cm,kopergravure,1 plgr. in vogelvlucht perspectief,,,,137101937,4.210.270 Vollenhove (plaats) |,krt-1700-ove-voll,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1290,,2012-10-24,2012-10-24,1290,6891.cpd,/Kaarten/image/6891.cpd
,uklu 01-07-16,Iudea seu Terra Sancta quae Hebraeorum sive Israelitarum in suas duodecim tribus divisa : secretis ab invicem regnis Iuda et Israel expressis in super sex ultimi temporis ejusdem terrae provincijs,a Amsterdam : chez Pierre Schenk,"Sanson, Gulielmus",,1700,,krt-1700-pal,"Titel ook boven de kaart | Met privilege | Beschr. in: Laor, maps of the Holy Land p. 97 |",,,,,74.21 geografie van Azie |,[ca. 1:500.000],,,"47 x 58,5 cm",kopergravure,1 krt,,,Gekleurd | Dit exemplaar is afkomstig uit UBG sign. : Rg---- 6 |,160336597,5.225 Palestina |,krt-1700-pal,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1292,,2012-10-24,2012-10-24,1292,6893.cpd,/Kaarten/image/6893.cpd
,uklu 02-11-22,Iudæa seu Terra Sancta quæ Hebræorum sive Israelitarum in suas duodecim tribus divisa : secretis ab invicem regnis Iuda et Israel ...,A Amsterdam : chez Pierre Schenk,"Sanson, Guillaume",,1700,,krt-1700-pal-ists,"Titel boven de kaart: Iudaea seu Terra Sancta quae Hebraeorum sive Israelitarum in suas duodecim tribus divisa, eae vero sunt cis Iordanem tribus Iuda, tribus Beniamin ... / ex conatibus geographicis Guilielmi Sanson Nicolai filij ... | Met privilege |",,,,,74.21 geografie van Azie |,Schaal [ca 1:740000],,,47 x 58 cm,kopergrav,1 krt,,,gekleurd |,141695188,5.225 Palestina |,krt-1700-pal-ists,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1294,,2012-10-24,2012-10-24,1294,6895.cpd,/Kaarten/image/6895.cpd
,uklu 02-11-08,Estats de Pologne : subdivises suivant lestendue des Palatinats,Amsterdam : chez Pierre Schenk,"Sanson, Guillaume",,17XX,,krt-1700-pol-rpmd,"Koptitel: Regni Poloniae, magni ducatus Lithuaniae reliquarumque Polonis subditarum regionum tabula | Avec privilege de noc Seigneurs des Etats de Holl. et de West-Frise |",,,,,74.19 geografie van Europa |,Schaal [ca. 1:2.700.000],,,45 x 57 cm,kopergravure,1 krt,,,Gekleurd |,141946431,4.430 Polen (land) | 4.130 Litouwen | 4.960 Wit-Rusland | 4.950 Oekraine |,krt-1700-pol-rpmd,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1296,,2012-10-24,2012-10-24,1296,6897.cpd,/Kaarten/image/6897.cpd
,uklu 02-11-19,"Regnorum Portugalliae et Algarbiae tabula : tam in suas sacras, quam profanas ditiones distincta ...",Gedrukt tot Amsterdam : by Carel Allard,"Allard, Carel",,17XX,,krt-1700-por-rpea,"Met privilege | Opgedragen aan Alexander Nunes d'Acosta | Beschreven in: Koeman, Atlantes Neerlandici I p. 36 [Al. 78] |",,,,,74.19 geografie van Europa |,[ca. 1:1.000.000],,,"59,5 x 49,5 cm",kopergravure,1 krt,,,gekleurd |,142045187,4.610 Portugal |,krt-1700-por-rpea,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1298,,2012-10-24,2012-10-24,1298,6899.cpd,/Kaarten/image/6899.cpd
,uklu 02-16-41,"Russia Alba, sive Moscovia : regio valde extensa : divisaque in regna, ducatus, principatus et provincias : cum adjacentibus regnis",[Amsterdam] : Gerardus et Leonardus Valk,,,1700,,krt-1700-rus-rasm,"Beschreven in: Koeman, Atlantes Neerlandici III p. 139 [63] |",,,,,74.19 geografie van Europa |,[ca. 1:6.750.000],,,46 x 59 cm,kopergravure,1 krt,,,gekleurd |,155524992,4.935 Rusland |,krt-1700-rus-rasm,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1300,,2012-10-24,2012-10-24,1300,6901.cpd,/Kaarten/image/6901.cpd
,uklu 02-11-20,"La Russie Blanche ou Moscovie : divise suivant l'estendue des royaumes, duchs, principauts, provinces et peuples qui sont presentement soubs la domination du czar de la Russie ...",[Amsterdam] : Petr. Schenk,"Sanson, Nicolas",,1700,,krt-1700-rus-rbom,"Tweede titel boven de kaart : Russiae Albae, sive Moscoviae delineatio geographica accurata et nova annexis quoque regionibus ac provinciis finitimis | Beschreven in: Koeman, Atlantes Neerlandici III p. 121 [59] |",,,,,74.19 geografie van Europa |,[ca. 1:7.000.000],,,"47 x 58,5 cm",kopergrav,1 krt,,,gekleurd |,142061492,4.960 Wit-Rusland | 4.950 Oekraine | 4.940 Europees Rusland |,krt-1700-rus-rbom,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/1302,,2012-10-24,2012-10-24,1302,6903.cpd,/Kaarten/image/6903.cpd
